,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Number
  65 - 69 Years,14844,13852,12944,12349,11556,10665,10031,9571,8626,7453,6729,5791,4849,4867,5077,5077,5131,4946,4842,5032,5099,5225,5435,5264
  70 - 74 Years,9790,9147,8618,7877,6780,6108,5254,4375,4337,4545,4483,4531,4408,4309,4467,4511,4570,4756,4585,4172,3862,3806,3788,3702
  75 - 79 Years,5281,4510,3713,3718,3885,3819,3858,3704,3643,3754,3768,3799,3921,3769,3409,3086,2954,2890,2739,2552,2232,2316,2154,2000
  80 - 84 Years,2907,2954,2843,2801,2859,2818,2815,2944,2805,2528,2296,2133,2067,1945,1810,1628,1514,1395,1332,1246,1156,1066,925,863
  85 - 89 Years,1752,1781,1860,1799,1602,1422,1313,1260,1191,1120,977,898,804,789,722,686,610,513,476,428,410,349,281,305
  65 Years & Over,35374,33011,30718,29275,27347,25452,23831,22339,21092,19827,18660,17522,16345,15956,15749,15232,14986,14665,14150,13613,12931,12916,12703,12248
  70 Years & Over,20530,19159,17774,16926,15791,14787,13800,12768,12466,12374,11931,11731,11496,11089,10672,10155,9855,9719,9308,8581,7832,7691,7268,6984
  75 Years & Over,10740,10012,9156,9049,9011,8679,8546,8393,8129,7829,7448,7200,7088,6780,6205,5644,5285,4963,4723,4409,3970,3885,3480,3282
  80 Years & Over,5459,5502,5443,5331,5126,4860,4688,4689,4486,4075,3680,3401,3167,3011,2796,2558,2331,2073,1984,1857,1738,1569,1326,1282
  85 Years & Over,2552,2548,2600,2530,2267,2042,1873,1745,1681,1547,1384,1268,1100,1066,986,930,817,678,652,611,582,503,401,419
  90 Years & Over,800,767,740,731,665,620,560,485,490,427,407,370,296,277,264,244,207,165,176,183,172,154,120,114
Total Chinese,2731200,2690340,2654496,2675521,2660989,2641013,2617567,2595776,2571045,2547040,2524891,2503160,2480879,2461852,2439490,2414840,2393759,2375961,2358187,2341661,2324988,2334148,2316930,2295068
  0 - 4 Years,109410,111322,112758,116135,117918,118631,120946,121472,118757,117218,117064,116409,115679,116494,115799,113758,113832,115290,120746,125856,130232,136616,142789,146014
