,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
  70 Years & Over,8861,8270,7632,7017,6517,6036,5636,5262,4787,4416,1697,702
  75 Years & Over,3854,3517,3303,3028,2833,2587,2363,2192,1969,1838,687,264
  80 Years & Over,1387,1278,1214,1119,1082,1014,926,841,712,649,251,77
  85 Years & Over,471,457,417,361,342,306,276,237,194,189,86,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Indians,109062,107537,105873,104319,102803,101178,99439,97905,96453,95003,71180,66739
  0 - 4 Years,9050,9308,9558,9670,9800,9765,9650,9475,9225,8884,4806,7696
  5 - 9 Years,10037,9929,9720,9458,9077,8728,8256,7964,7723,7469,5861,9030
  10 - 14 Years,8987,8542,8255,8015,7751,7453,7121,6689,6361,6070,7446,8870
  15 - 19 Years,7771,7475,7013,6634,6290,6155,6194,6339,6616,7004,9005,6701
  20 - 24 Years,6404,6459,6559,6814,7150,7359,7598,7870,8273,8808,8752,4797
  25 - 29 Years,7525,7710,7945,8305,8791,9277,9866,10276,10508,10646,6617,2386
  30 - 34 Years,9390,9901,10222,10464,10598,10807,10849,10933,10787,10528,4903,2922
  35 - 39 Years,10957,10955,10981,10776,10521,10026,9411,8965,8546,7977,2681,4660
  40 - 44 Years,10104,9504,8994,8544,7978,7685,7355,6917,6687,6048,2968,5561
  45 - 49 Years,7711,7361,6941,6721,6098,5228,4566,3847,3175,3071,4206,5062
  50 - 54 Years,5203,4577,3870,3200,3111,3179,3123,3196,3142,3168,4774,3783
  55 - 59 Years,3105,3048,3119,3040,3039,3050,3197,3526,3885,4254,3867,2581
  60 - 64 Years,2847,2991,3271,3603,3897,4266,4473,4545,4568,4528,2599,1443
  65 - 69 Years,3860,4033,4090,4095,4074,3905,3764,3570,3494,3333,1438,726
  70 - 74 Years,3458,3329,3045,2845,2619,2443,2326,2224,2050,1905,761,333
  75 - 79 Years,1693,1526,1444,1333,1258,1145,1050,992,921,861,316,134
  80 - 84 Years,625,568,561,544,520,497,458,418,365,328,117,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,9971,9779,9428,9073,8705,8198,7781,7363,6958,6548,2695,1247
  70 Years & Over,6111,5746,5337,4977,4632,4293,4017,3793,3464,3215,1257,521
  75 Years & Over,2653,2418,2292,2132,2013,1850,1691,1569,1414,1310,496,188
  80 Years & Over,960,892,848,799,755,705,641,576,493,449,180,54
  85 Years & Over,335,324,287,255,235,209,183,159,128,121,63,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Indians,103021,101149,98879,96730,94549,92288,90007,87859,85667,83569,57789,45944
  0 - 4 Years,8642,8946,9063,9276,9438,9455,9328,9192,8760,8306,4608,7464
  5 - 9 Years,9755,9613,9454,9004,8516,8180,7742,7393,7159,7028,5567,8888
  10 - 14 Years,8495,8070,7684,7440,7281,7013,6724,6347,6102,5836,7154,8285
  15 - 19 Years,7336,7055,6633,6339,6032,5795,5858,6126,6348,6602,8694,6088
  20 - 24 Years,6017,6095,6391,6606,6847,7063,7231,7315,7666,8137,7800,3994
  25 - 29 Years,7489,7692,7709,8065,8545,8965,9415,9889,10061,10139,5928,1733
  30 - 34 Years,9375,9874,10321,10508,10562,10569,10368,10186,9977,9621,4576,2137
  35 - 39 Years,10966,10740,10524,10260,9893,9516,9149,8598,8171,7721,2761,1922
  40 - 44 Years,9819,9477,8903,8459,7967,7589,7225,6915,6704,6063,3086,1873
  45 - 49 Years,7814,7471,7155,6908,6209,5379,4673,4091,3447,3418,2492,1360
  50 - 54 Years,5482,4769,4132,3493,3453,3566,3624,3630,3542,3407,2045,846
  55 - 59 Years,3559,3603,3602,3506,3367,3243,3083,2993,2895,2740,1330,641
  60 - 64 Years,3179,3014,2922,2808,2642,2468,2359,2239,2184,2072,798,328
  65 - 69 Years,2343,2206,2092,2017,1916,1744,1609,1477,1328,1278,510,204
  70 - 74 Years,1549,1424,1284,1144,1065,1006,947,846,769,673,249,105
  75 - 79 Years,774,713,646,576,493,428,387,359,336,328,120,53
